query_id,query_text,query_class,query_subtype,fact_id,fact_text,gold_relevant,hard_negative_labels,COSINE_SCORE,LOGIT_SCORE,rank_within_query
CQ01,Who works on Project Helix?,answerable,narrow,CF01,Mira works on Project Helix.,True,,0.8259706672092282,,2
CQ01,Who works on Project Helix?,answerable,narrow,CF02,Project Helix uses Go.,False,HN1,0.8195619863423789,,3
CQ01,Who works on Project Helix?,answerable,narrow,CF03,Project Helix depends on Redis.,False,HN1,0.787313835926316,,4
CQ01,Who works on Project Helix?,answerable,narrow,CF04,Project Helix is owned by Apex Labs.,False,HN1,0.8360682132929513,,1
CQ01,Who works on Project Helix?,answerable,narrow,CF05,Project Helix is deployed in Frankfurt.,False,,0.7736519123896431,,6
CQ01,Who works on Project Helix?,answerable,narrow,CF06,Jonas works on Project Cascade.,False,HN2,0.6492206570420074,,16
CQ01,Who works on Project Helix?,answerable,narrow,CF07,Project Cascade uses TypeScript.,False,,0.65365112471554,,13
CQ01,Who works on Project Helix?,answerable,narrow,CF08,Project Cascade depends on Kafka.,False,,0.590679239613194,,29
CQ01,Who works on Project Helix?,answerable,narrow,CF09,Project Cascade is owned by Northwind Systems.,False,,0.5856028177849679,,31
CQ01,Who works on Project Helix?,answerable,narrow,CF10,Project Cascade has status beta.,False,,0.6526547339666667,,14
CQ01,Who works on Project Helix?,answerable,narrow,CF11,Elena works on Project Prism.,False,HN2,0.6288900473713203,,22
CQ01,Who works on Project Helix?,answerable,narrow,CF12,Project Prism uses Kotlin.,False,,0.6679236705855977,,10
CQ01,Who works on Project Helix?,answerable,narrow,CF13,Project Prism depends on Grafana.,False,,0.5672928459664104,,34
CQ01,Who works on Project Helix?,answerable,narrow,CF14,Project Prism currently uses Go for the API layer.,False,,0.6551051632091497,,12
CQ01,Who works on Project Helix?,answerable,narrow,CF15,Project Prism previously used Python for the API layer.,False,,0.6724803328296618,,8
